nome_popular,numero,familia,nome_cientifico,este,endereco,norte,decreto,microregiao,rpa,identifica,observacao,latitude,longitude
Baobá,1,Bombacaceae,Adansonia digitata L.,28.785.800.000.000.000,"Rua Marques de Tamandaré, 160 - Casa Forte - na frente do poste 9/389",911.159.300.000.000.000,14.288/88,3.1,3,1,,-8.032664,-34.924881
Palmeira Imperial,3,Arecaceae,Roystonea oleracea Cook,28.572.800.000.000.000,Av. Dom Manoel Medeiros ? Dois Irmãos - Praça ? na frente do poste  73/95,911.344.600.000.000.000,14.288/88,3.1,3,3,,-8.015821,-34.94412
Jaqueira,4,Moraceae,Artocarpus heterophylla Lam.,28.897.800.000.000.000,Rua Major Nereu Guerra / Rua Dr. Carlos Mavignier - Casa Amarela - ao lado do n°166,911.236.800.000.000.000,14.288/88,3.1,3,4,Erradicação e substituição  pela resolução 04/09 de 11 de maio de 2009.,-8.025705,-34.91469
Carolina,5,Bombacaceae,Pachira aquatica Aubl.,29.116.700.000.000.000,Rua José  Alexandre Caçador - Rosarinho - em frente ao ferro velho,911.178.400.000.000.000,14.288/88,2.1,2,5,Erradicação e substituição pela resolução 04/03 de 5 de maio de 2003,-8.031077,-34.89486
Carolina,6,Bombacaceae,Pachira aquatica Aubl,29.114.600.000.000.000,Av. Santos Dumont ? Rosarinho - na frente dos postes 69/289 e 71/289 n° 1376,911.188.700.000.000.000,14.288/88,2.1,2,6,,-8.030145,-34.895046
Baobá,7,Bombacaceae,Adansonia digitata L.,29.211.800.000.000.000,"Coronel Urbano, 517 - Fundão de Dentro",911.337.900.000.000.000,14.288/88,2.1,2,7,,-8.016696,-34.886168
Gameleira,8,Moraceae,Ficus sp.,29.211.800.000.000.000,"Sitio Pai Adão, 1644 - Estrada Velha de Água Fria ? Água Fria",911.337.900.000.000.000,14.288/88,2.2,2,8,,-8.016696,-34.886168
Barriguda,9,Bombacaceae,Ceiba pentandra (L.) Gaertn,29.038.500.000.000.000,Rua Julio Lima - Água Fria - ao lado do imóvel 32,911.296.400.000.000.000,14.288/88,2.2,2,9,,-8.020376,-34.901903
Barriguda,10,Bombacaceae,Ceiba pentandra (L.) Gaertn,29.038.400.000.000.000,Rua Julio Lima - Água Fria - ao lado do imóvel 256,911.307.000.000.000.000,14.288/88,2.2,2,10,,-8.019418,-34.901908
Cajueiro,11,Anacardiaceae,Anacardium occidentale L.,28.981.800.000.000.000,"Rua Padre Roma, 375 ? Ed. Via Mariana ? Parnamirim",911.151.100.000.000.000,14.288/88,3.1,3,11,Erradicação e substituição pela resolução 04/03 de 5 de maio de 2003. Recém plantada ? inform. GIM ? 2010.,-8.033488,-34.907107
Barriguda,12,Bombacaceae,Ceiba pentandra (L.) Gaertn,28.983.000.000.000.000,"Rua Sebastião Alves, 220 - Ed. Príncipe de Orange - Parnamirim - na frente do poste 12/295",911.162.200.000.000.000,14.288/88,3.1,3,12,,-8.032485,-34.906993
Baóba,13,Bombacaceae,Adansonia digitata L.,29.012.100.000.000.000,Rua Madre Loyola ? Jaqueira ? à margem do rio Capibaribe,911.065.600.000.000.000,14.288/88,3.1,3,13,,-8.04123,-34.904395
